antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'459DE', '51'})","frozenset({'181', 'TO240'})",0.14109833144338246,0.20784059614450023,0.13866839462173983,0.9827784156142365,4.72851999967785,0.10934243329955293,45.998056050542694,0.9180530975791183
"frozenset({'459DE', '51'})",frozenset({'TO240'}),0.14109833144338246,0.20784059614450023,0.13866839462173983,0.9827784156142365,4.72851999967785,0.10934243329955293,45.998056050542694,0.9180530975791183
frozenset({'181'}),frozenset({'51'}),0.2246881581078892,0.21027053296614287,0.21027053296614287,0.935832732516222,4.450612833453497,0.16302523420961604,12.307356975010775,1.0
frozenset({'181'}),"frozenset({'51', 'TO240'})",0.2246881581078892,0.20784059614450023,0.20784059614450023,0.9250180245133381,4.450612833453497,0.16114127541674683,10.564664357188253,1.0000000000000002
frozenset({'181'}),frozenset({'TO240'}),0.2246881581078892,0.20784059614450023,0.20784059614450023,0.9250180245133381,4.450612833453497,0.16114127541674683,10.564664357188253,1.0000000000000002
frozenset({'459DE'}),frozenset({'51'}),0.1555159565851288,0.21027053296614287,0.14109833144338246,0.9072916666666666,4.314877856959424,0.10839790836748789,8.518430206207892,0.9097196512384145
"frozenset({'459DE', '181'})",frozenset({'51'}),0.1555159565851288,0.21027053296614287,0.14109833144338246,0.9072916666666666,4.314877856959424,0.10839790836748789,8.518430206207892,0.9097196512384145
frozenset({'459DE'}),"frozenset({'51', '181'})",0.1555159565851288,0.21027053296614287,0.14109833144338246,0.9072916666666666,4.314877856959424,0.10839790836748789,8.518430206207892,0.9097196512384145
frozenset({'447DE'}),frozenset({'STL55'}),0.09865543495869107,0.08893568767212053,0.08893568767212053,0.9014778325123153,10.136288998357964,0.08016169872147717,9.247302770127977,1.0
"frozenset({'459DE', '181'})","frozenset({'51', 'TO240'})",0.1555159565851288,0.20784059614450023,0.13866839462173983,0.8916666666666666,4.290146791374383,0.10634586549510444,7.31224065097384,0.9081376357811437
frozenset({'459DE'}),"frozenset({'181', 'TO240'})",0.1555159565851288,0.20784059614450023,0.13866839462173983,0.8916666666666666,4.290146791374383,0.10634586549510444,7.31224065097384,0.9081376357811437
frozenset({'459DE'}),"frozenset({'51', 'TO240'})",0.1555159565851288,0.20784059614450023,0.13866839462173983,0.8916666666666666,4.290146791374383,0.10634586549510444,7.31224065097384,0.9081376357811437
