antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'525'}),"frozenset({'526', 'STL539'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'526'}),frozenset({'525'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'525'}),frozenset({'526'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'526'}),"frozenset({'525', 'STL539'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'525', 'STL539'})",frozenset({'537EN'}),0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
"frozenset({'525', 'STL539'})",frozenset({'526'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'525'}),"frozenset({'STL539', '537EN'})",0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
frozenset({'526'}),frozenset({'STL539'}),0.1251246971640302,0.42240273621205643,0.1251246971640302,1.0,2.367408906882591,0.07227168271423892,inf,0.660205245153934
frozenset({'526'}),frozenset({'537EN'}),0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
"frozenset({'526', 'STL539'})",frozenset({'525'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'526', '525'})",frozenset({'STL539'}),0.1251246971640302,0.42240273621205643,0.1251246971640302,1.0,2.367408906882591,0.07227168271423892,inf,0.660205245153934
frozenset({'525'}),frozenset({'STL539'}),0.1251246971640302,0.42240273621205643,0.1251246971640302,1.0,2.367408906882591,0.07227168271423892,inf,0.660205245153934
"frozenset({'526', '537EN'})",frozenset({'STL539'}),0.1251246971640302,0.42240273621205643,0.1251246971640302,1.0,2.367408906882591,0.07227168271423892,inf,0.660205245153934
frozenset({'STL512'}),frozenset({'490DE'}),0.15362690608522162,0.2059284594556078,0.15362690608522162,1.0,4.856055363321799,0.1219907539841606,inf,0.93820508503115
"frozenset({'526', 'STL539'})",frozenset({'537EN'}),0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
frozenset({'537EN'}),frozenset({'STL539'}),0.18170158187259514,0.42240273621205643,0.18170158187259514,1.0,2.367408906882591,0.10495033651555195,inf,0.7058516196447231
frozenset({'526'}),"frozenset({'STL539', '537EN'})",0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
frozenset({'525'}),frozenset({'537EN'}),0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
"frozenset({'526', '537EN'})",frozenset({'525'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'537DE'}),frozenset({'STL539'}),0.2706284737067123,0.42240273621205643,0.24070115433946132,0.8894154818325435,2.105610133609635,0.1263869465488535,5.223129542539549,0.719905088924473
frozenset({'490DE'}),frozenset({'STL512'}),0.2059284594556078,0.15362690608522162,0.15362690608522162,0.7460207612456748,4.8560553633218,0.1219907539841606,3.3324499201821673,1.0
frozenset({'537EN'}),frozenset({'525'}),0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'537EN'}),"frozenset({'526', '525'})",0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
"frozenset({'STL539', '537EN'})",frozenset({'525'}),0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'537EN'}),"frozenset({'525', 'STL539'})",0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'537EN'}),"frozenset({'526', '525', 'STL539'})",0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'537EN'}),frozenset({'526'}),0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
"frozenset({'STL539', '537EN'})","frozenset({'526', '525'})",0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
"frozenset({'STL539', '537EN'})",frozenset({'526'}),0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'537EN'}),"frozenset({'526', 'STL539'})",0.18170158187259514,0.1251246971640302,0.1251246971640302,0.6886274509803921,5.503529411764705,0.10238934175799651,2.8097380632641347,1.0
frozenset({'STL539'}),frozenset({'537DE'}),0.42240273621205643,0.2706284737067123,0.24070115433946132,0.569838056680162,2.105610133609635,0.1263869465488535,1.6955742775947489,0.9090733395300896
